frameIdx,tsStart,layoutEvents,paintEvents,rasterEvents,rasterMs,styleEvents
0,8096489866,0,0,0,0.000,0
1,8096489866,0,0,0,0.000,0
2,8096489884,10,7,214,38.079,4
3,8096530695,0,0,0,0.000,0
4,8096530695,0,0,0,0.000,0
5,8096530721,4,6,211,51.851,4
6,8096547659,0,0,0,0.000,0
7,8096547659,0,0,0,0.000,0
8,8096547690,4,6,195,28.804,4
9,8096567162,0,0,0,0.000,0
10,8096567162,0,0,0,0.000,0
11,8096567198,4,6,195,27.636,4
12,8096588176,0,0,0,0.000,0
13,8096588176,0,0,0,0.000,0
14,8096588210,4,6,195,35.424,4
15,8096608658,0,0,0,0.000,0
16,8096608658,0,0,0,0.000,0
17,8096608694,4,6,195,36.805,4
18,8096628931,0,0,0,0.000,0
19,8096628931,0,0,0,0.000,0
20,8096628973,4,6,195,38.646,4
21,8096654644,0,0,0,0.000,0
22,8096654644,0,0,0,0.000,0
23,8096654675,4,6,195,37.223,4
24,8096666778,0,0,0,0.000,0
25,8096666778,0,0,0,0.000,0
26,8096666807,4,6,195,33.137,4
27,8096686683,0,0,0,0.000,0
28,8096686683,0,0,0,0.000,0
29,8096686724,4,6,195,33.323,4
30,8096706715,0,0,0,0.000,0
31,8096706715,0,0,0,0.000,0
32,8096706746,4,6,195,35.557,4
33,8096726774,0,0,0,0.000,0
34,8096726774,0,0,0,0.000,0
35,8096726807,4,6,195,34.877,4
36,8096746755,0,0,0,0.000,0
37,8096746755,0,0,0,0.000,0
38,8096746792,4,6,195,30.730,4
39,8096768058,0,0,0,0.000,0
40,8096768058,0,0,0,0.000,0
41,8096768075,4,6,195,32.919,4
42,8096786726,0,0,0,0.000,0
43,8096786726,0,0,0,0.000,0
44,8096786750,4,6,195,27.700,4
45,8096806868,0,0,0,0.000,0
46,8096806868,0,0,0,0.000,0
47,8096806893,4,6,195,28.611,4
48,8096826662,0,0,0,0.000,0
49,8096826662,0,0,0,0.000,0
50,8096826685,4,6,195,24.927,4
51,8096846589,0,0,0,0.000,0
52,8096846589,0,0,0,0.000,0
53,8096846612,4,6,195,22.834,4
54,8096866650,0,0,0,0.000,0
55,8096866650,0,0,0,0.000,0
56,8096866675,4,6,195,22.715,4
57,8096886774,0,0,0,0.000,0
58,8096886774,0,0,0,0.000,0
59,8096886797,4,6,195,33.195,4
60,8096906798,0,0,0,0.000,0
61,8096906798,0,0,0,0.000,0
62,8096906828,4,6,195,41.372,4
63,8096926793,0,0,0,0.000,0
64,8096926793,0,0,0,0.000,0
65,8096926823,4,6,195,41.489,4
66,8096946861,0,0,0,0.000,0
67,8096946861,0,0,0,0.000,0
68,8096946893,4,6,195,41.941,4
69,8096966823,0,0,0,0.000,0
70,8096966823,0,0,0,0.000,0
71,8096966856,4,6,195,40.687,4
72,8096986852,0,0,0,0.000,0
73,8096986852,0,0,0,0.000,0
74,8096986883,4,6,195,41.814,4
75,8097006907,0,0,0,0.000,0
76,8097006907,0,0,0,0.000,0
77,8097006994,4,6,195,42.447,4
78,8097026868,0,0,0,0.000,0
79,8097026868,0,0,0,0.000,0
80,8097026894,4,6,195,41.760,4
81,8097046822,0,0,0,0.000,0
82,8097046822,0,0,0,0.000,0
83,8097046849,4,6,195,41.459,4
84,8097066786,0,0,0,0.000,0
85,8097066786,0,0,0,0.000,0
86,8097066814,4,6,195,41.567,4
87,8097086782,0,0,0,0.000,0
88,8097086782,0,0,0,0.000,0
89,8097086806,4,6,195,41.714,4
90,8097106801,0,0,0,0.000,0
91,8097106801,0,0,0,0.000,0
92,8097106827,4,6,195,41.455,4
93,8097126841,0,0,0,0.000,0
94,8097126841,0,0,0,0.000,0
95,8097126869,4,6,195,41.588,4
96,8097146850,0,0,0,0.000,0
97,8097146850,0,0,0,0.000,0
98,8097146878,4,6,195,41.664,4
99,8097166861,0,0,0,0.000,0
100,8097166861,0,0,0,0.000,0
101,8097166897,4,6,195,33.653,4
102,8097186780,0,0,0,0.000,0
103,8097186780,0,0,0,0.000,0
104,8097186816,4,6,195,33.548,4
105,8097206775,0,0,0,0.000,0
106,8097206775,0,0,0,0.000,0
107,8097206808,4,6,195,41.667,4
108,8097226784,0,0,0,0.000,0
109,8097226784,0,0,0,0.000,0
110,8097226819,4,6,195,41.284,4
111,8097246770,0,0,0,0.000,0
112,8097246770,0,0,0,0.000,0
113,8097246802,4,6,195,41.379,4
114,8097266803,0,0,0,0.000,0
115,8097266803,0,0,0,0.000,0
116,8097266839,4,6,195,41.585,4
117,8097286772,0,0,0,0.000,0
118,8097286772,0,0,0,0.000,0
119,8097286807,4,6,195,41.663,4
120,8097306799,0,0,0,0.000,0
121,8097306799,0,0,0,0.000,0
122,8097306835,4,6,195,41.345,4
123,8097326779,0,0,0,0.000,0
124,8097326779,0,0,0,0.000,0
125,8097326813,4,6,195,41.628,4
126,8097346879,0,0,0,0.000,0
127,8097346879,0,0,0,0.000,0
128,8097346918,4,6,195,40.029,4
129,8097366814,0,0,0,0.000,0
130,8097366814,0,0,0,0.000,0
131,8097366840,4,6,195,22.869,4
132,8097386777,0,0,0,0.000,0
133,8097386777,0,0,0,0.000,0
134,8097386802,4,6,195,29.292,4
135,8097406855,0,0,0,0.000,0
136,8097406855,0,0,0,0.000,0
137,8097406881,4,6,195,24.576,4
138,8097426703,0,0,0,0.000,0
139,8097426703,0,0,0,0.000,0
140,8097426731,4,6,195,23.455,4
141,8097446646,0,0,0,0.000,0
142,8097446646,0,0,0,0.000,0
143,8097446682,4,6,195,29.231,4
144,8097466795,0,0,0,0.000,0
145,8097466795,0,0,0,0.000,0
146,8097466835,4,6,195,42.847,4
147,8097486947,0,0,0,0.000,0
148,8097486947,0,0,0,0.000,0
149,8097486981,4,6,195,43.389,4
150,8097506865,0,0,0,0.000,0
151,8097506865,0,0,0,0.000,0
152,8097506899,4,6,195,43.445,4
153,8097526817,0,0,0,0.000,0
154,8097526817,0,0,0,0.000,0
155,8097526858,4,6,195,40.129,4
156,8097546802,0,0,0,0.000,0
157,8097546802,0,0,0,0.000,0
158,8097546828,4,6,195,42.661,4
159,8097566795,0,0,0,0.000,0
160,8097566795,0,0,0,0.000,0
161,8097566819,4,6,195,42.945,4
162,8097586779,0,0,0,0.000,0
163,8097586779,0,0,0,0.000,0
164,8097586803,4,6,195,42.916,4
165,8097606787,0,0,0,0.000,0
166,8097606787,0,0,0,0.000,0
167,8097606814,4,6,195,42.891,4
168,8097626812,0,0,0,0.000,0
169,8097626812,0,0,0,0.000,0
170,8097626836,4,6,195,42.481,4
171,8097646790,0,0,0,0.000,0
172,8097646790,0,0,0,0.000,0
173,8097646825,4,6,195,42.904,4
174,8097666792,0,0,0,0.000,0
175,8097666792,0,0,0,0.000,0
176,8097666816,4,6,195,42.390,4
177,8097686779,0,0,0,0.000,0
178,8097686779,0,0,0,0.000,0
179,8097686804,4,6,195,42.629,4
180,8097706783,0,0,0,0.000,0
181,8097706783,0,0,0,0.000,0
182,8097706810,4,6,195,43.703,4
183,8097726776,0,0,0,0.000,0
184,8097726776,0,0,0,0.000,0
185,8097726801,4,6,195,33.762,4
186,8097746835,0,0,0,0.000,0
187,8097746835,0,0,0,0.000,0
188,8097746868,4,6,195,35.179,4
189,8097766795,0,0,0,0.000,0
190,8097766795,0,0,0,0.000,0
191,8097766829,4,6,195,35.021,4
192,8097786777,0,0,0,0.000,0
193,8097786777,0,0,0,0.000,0
194,8097786811,4,6,195,34.987,4
195,8097806802,0,0,0,0.000,0
196,8097806802,0,0,0,0.000,0
197,8097806836,4,6,195,34.868,4
198,8097826756,0,0,0,0.000,0
199,8097826756,0,0,0,0.000,0
200,8097826791,4,6,195,34.900,4
201,8097846765,0,0,0,0.000,0
202,8097846765,0,0,0,0.000,0
203,8097846799,4,6,195,34.905,4
204,8097866763,0,0,0,0.000,0
205,8097866763,0,0,0,0.000,0
206,8097866798,4,6,195,34.840,4
207,8097886771,0,0,0,0.000,0
208,8097886771,0,0,0,0.000,0
209,8097886803,4,6,195,34.788,4
210,8097906778,0,0,0,0.000,0
211,8097906778,0,0,0,0.000,0
212,8097906813,4,6,195,34.877,4
213,8097926768,0,0,0,0.000,0
214,8097926768,0,0,0,0.000,0
215,8097926804,4,6,195,34.804,4
216,8097946777,0,0,0,0.000,0
217,8097946777,0,0,0,0.000,0
218,8097946811,4,6,195,30.955,4
219,8097966767,0,0,0,0.000,0
220,8097966767,0,0,0,0.000,0
221,8097966791,4,6,195,19.634,4
222,8097986767,0,0,0,0.000,0
223,8097986767,0,0,0,0.000,0
224,8097986790,4,6,195,19.563,4
225,8098006768,0,0,0,0.000,0
226,8098006768,0,0,0,0.000,0
227,8098006793,4,6,195,20.406,4
228,8098026694,0,0,0,0.000,0
229,8098026694,0,0,0,0.000,0
230,8098026719,4,6,195,22.631,4
231,8098046636,0,0,0,0.000,0
232,8098046636,0,0,0,0.000,0
233,8098046663,4,6,195,20.779,4
234,8098066731,0,0,0,0.000,0
235,8098066731,0,0,0,0.000,0
236,8098066769,4,6,195,25.454,4
237,8098086787,0,0,0,0.000,0
238,8098086787,0,0,0,0.000,0
239,8098086823,4,6,195,29.141,4
240,8098106774,0,0,0,0.000,0
241,8098106774,0,0,0,0.000,0
242,8098106812,4,6,195,29.116,4
243,8098126813,0,0,0,0.000,0
244,8098126813,0,0,0,0.000,0
245,8098126847,4,6,195,34.917,4
246,8098146772,0,0,0,0.000,0
247,8098146772,0,0,0,0.000,0
248,8098146799,4,6,195,35.075,4
249,8098166770,0,0,0,0.000,0
250,8098166770,0,0,0,0.000,0
251,8098166798,4,6,195,35.064,4
252,8098186743,0,0,0,0.000,0
253,8098186743,0,0,0,0.000,0
254,8098186773,4,6,195,34.998,4
255,8098206744,0,0,0,0.000,0
256,8098206744,0,0,0,0.000,0
257,8098206772,4,6,195,35.064,4
258,8098226752,0,0,0,0.000,0
259,8098226752,0,0,0,0.000,0
260,8098226778,4,6,195,35.008,4
261,8098246741,0,0,0,0.000,0
262,8098246741,0,0,0,0.000,0
263,8098246768,4,6,195,34.959,4
264,8098266782,0,0,0,0.000,0
265,8098266782,0,0,0,0.000,0
266,8098266812,4,6,195,35.119,4
267,8098286757,0,0,0,0.000,0
268,8098286757,0,0,0,0.000,0
269,8098286786,4,6,195,34.881,4
270,8098306734,0,0,0,0.000,0
271,8098306734,0,0,0,0.000,0
272,8098306761,4,6,195,34.897,4
273,8098326750,0,0,0,0.000,0
274,8098326750,0,0,0,0.000,0
275,8098326778,4,6,195,34.957,4
276,8098346742,0,0,0,0.000,0
277,8098346742,0,0,0,0.000,0
278,8098346768,4,6,195,35.068,4
279,8098366757,0,0,0,0.000,0
280,8098366757,0,0,0,0.000,0
281,8098366786,4,6,195,34.928,4
282,8098386747,0,0,0,0.000,0
283,8098386747,0,0,0,0.000,0
284,8098386776,4,6,195,35.145,4
285,8098406791,0,0,0,0.000,0
286,8098406791,0,0,0,0.000,0
287,8098406828,4,6,195,34.965,4
288,8098426779,0,0,0,0.000,0
289,8098426779,0,0,0,0.000,0
290,8098426807,4,6,195,34.964,4
291,8098446801,0,0,0,0.000,0
292,8098446801,0,0,0,0.000,0
293,8098446836,4,6,195,35.214,4
294,8098466810,0,0,0,0.000,0
295,8098466810,0,0,0,0.000,0
296,8098466836,4,6,195,34.817,4
297,8098488022,0,0,0,0.000,0
298,8098488022,0,0,0,0.000,0
299,8098488063,4,6,195,27.776,4
300,8098507494,0,0,0,0.000,0
301,8098507494,0,0,0,0.000,0
302,8098507524,4,6,195,29.592,4
303,8098526766,0,0,0,0.000,0
304,8098526766,0,0,0,0.000,0
305,8098526795,4,6,195,31.096,4
306,8098546847,0,0,0,0.000,0
307,8098546847,0,0,0,0.000,0
308,8098546872,4,6,195,29.940,4
309,8098566838,0,0,0,0.000,0
310,8098566838,0,0,0,0.000,0
311,8098566860,4,6,195,25.244,4
312,8098586763,0,0,0,0.000,0
313,8098586763,0,0,0,0.000,0
314,8098586791,4,6,195,24.486,4
315,8098606868,0,0,0,0.000,0
316,8098606868,0,0,0,0.000,0
317,8098606890,4,6,195,23.704,4
318,8098626716,0,0,0,0.000,0
319,8098626716,0,0,0,0.000,0
320,8098626745,4,6,195,23.095,4
321,8098646725,0,0,0,0.000,0
322,8098646725,0,0,0,0.000,0
323,8098646762,4,6,195,23.723,4
324,8098666720,0,0,0,0.000,0
325,8098666720,0,0,0,0.000,0
326,8098666756,4,6,195,46.515,4
327,8098686986,0,0,0,0.000,0
328,8098686986,0,0,0,0.000,0
329,8098687028,4,6,195,44.668,4
330,8098707034,0,0,0,0.000,0
331,8098707034,0,0,0,0.000,0
332,8098707068,4,6,195,35.264,4
333,8098727276,0,0,0,0.000,0
334,8098727276,0,0,0,0.000,0
335,8098727314,4,6,195,35.476,4
336,8098746958,0,0,0,0.000,0
337,8098746958,0,0,0,0.000,0
338,8098746987,4,6,195,27.145,4
339,8098766941,0,0,0,0.000,0
340,8098766941,0,0,0,0.000,0
341,8098766985,4,6,195,24.097,4
342,8098786963,0,0,0,0.000,0
343,8098786963,0,0,0,0.000,0
344,8098787011,4,6,195,29.376,4
345,8098806850,0,0,0,0.000,0
346,8098806850,0,0,0,0.000,0
347,8098806886,4,6,195,34.909,4
348,8098826808,0,0,0,0.000,0
349,8098826808,0,0,0,0.000,0
350,8098826838,4,6,195,34.928,4
351,8098846816,0,0,0,0.000,0
352,8098846816,0,0,0,0.000,0
353,8098846842,4,6,195,34.808,4
354,8098866854,0,0,0,0.000,0
355,8098866854,0,0,0,0.000,0
356,8098866887,4,6,195,34.900,4
357,8098886803,0,0,0,0.000,0
358,8098886803,0,0,0,0.000,0
359,8098886829,4,6,195,34.798,4
360,8098906795,0,0,0,0.000,0
361,8098906795,0,0,0,0.000,0
362,8098906823,4,6,195,34.827,4
363,8098926882,0,0,0,0.000,0
364,8098926882,0,0,0,0.000,0
365,8098926916,4,6,195,35.095,4
366,8098946787,0,0,0,0.000,0
367,8098946787,0,0,0,0.000,0
368,8098946815,4,6,195,35.036,4
369,8098966805,0,0,0,0.000,0
370,8098966805,0,0,0,0.000,0
371,8098966831,4,6,195,34.857,4
372,8098986807,0,0,0,0.000,0
373,8098986807,0,0,0,0.000,0
374,8098986834,4,6,195,34.707,4
375,8099006875,0,0,0,0.000,0
376,8099006875,0,0,0,0.000,0
377,8099006902,4,6,195,35.044,4
378,8099026825,0,0,0,0.000,0
379,8099026825,0,0,0,0.000,0
380,8099026855,4,6,195,34.705,4
381,8099046787,0,0,0,0.000,0
382,8099046787,0,0,0,0.000,0
383,8099046809,4,6,195,35.007,4
384,8099066802,0,0,0,0.000,0
385,8099066802,0,0,0,0.000,0
386,8099066825,4,6,195,34.954,4
387,8099086806,0,0,0,0.000,0
388,8099086806,0,0,0,0.000,0
389,8099086832,4,6,195,34.822,4
390,8099106795,0,0,0,0.000,0
391,8099106795,0,0,0,0.000,0
392,8099106818,4,6,195,34.897,4
393,8099126821,0,0,0,0.000,0
394,8099126821,0,0,0,0.000,0
395,8099126858,4,6,195,34.730,4
396,8099146850,0,0,0,0.000,0
397,8099146850,0,0,0,0.000,0
398,8099146877,4,6,195,29.768,4
399,8099166679,0,0,0,0.000,0
400,8099166679,0,0,0,0.000,0
401,8099166705,4,6,195,20.975,4
402,8099186796,0,0,0,0.000,0
403,8099186796,0,0,0,0.000,0
404,8099186823,4,6,195,23.473,4
405,8099206846,0,0,0,0.000,0
406,8099206846,0,0,0,0.000,0
407,8099206870,4,6,195,20.013,4
408,8099226686,0,0,0,0.000,0
409,8099226686,0,0,0,0.000,0
410,8099226714,4,6,195,20.868,4
411,8099246604,0,0,0,0.000,0
412,8099246604,0,0,0,0.000,0
413,8099246633,4,6,195,22.844,4
414,8099266634,0,0,0,0.000,0
415,8099266634,0,0,0,0.000,0
416,8099266670,4,6,195,29.987,4
417,8099286775,0,0,0,0.000,0
418,8099286775,0,0,0,0.000,0
419,8099286809,4,6,195,29.471,4
420,8099306736,0,0,0,0.000,0
421,8099306736,0,0,0,0.000,0
422,8099306773,4,6,195,29.258,4
423,8099326735,0,0,0,0.000,0
424,8099326735,0,0,0,0.000,0
425,8099326773,4,6,195,34.914,4
426,8099346743,0,0,0,0.000,0
427,8099346743,0,0,0,0.000,0
428,8099346780,4,6,195,35.608,4
429,8099366768,0,0,0,0.000,0
430,8099366768,0,0,0,0.000,0
431,8099366806,4,6,195,36.361,4
432,8099386786,0,0,0,0.000,0
433,8099386786,0,0,0,0.000,0
434,8099386825,4,6,195,41.300,4
435,8099406765,0,0,0,0.000,0
436,8099406765,0,0,0,0.000,0
437,8099406803,4,6,195,41.248,4
438,8099426750,0,0,0,0.000,0
439,8099426750,0,0,0,0.000,0
440,8099426788,4,6,195,41.269,4
441,8099446801,0,0,0,0.000,0
442,8099446801,0,0,0,0.000,0
443,8099446838,4,6,195,41.171,4
444,8099466760,0,0,0,0.000,0
445,8099466760,0,0,0,0.000,0
446,8099466798,4,6,195,41.679,4
447,8099486773,0,0,0,0.000,0
448,8099486773,0,0,0,0.000,0
449,8099486810,4,6,195,43.592,4
450,8099506817,0,0,0,0.000,0
451,8099506817,0,0,0,0.000,0
452,8099506851,4,6,195,41.898,4
453,8099526761,0,0,0,0.000,0
454,8099526761,0,0,0,0.000,0
455,8099526798,4,6,195,42.091,4
456,8099546744,0,0,0,0.000,0
457,8099546744,0,0,0,0.000,0
458,8099546772,4,6,195,42.482,4
459,8099566743,0,0,0,0.000,0
460,8099566743,0,0,0,0.000,0
461,8099566774,4,6,195,37.582,4
462,8099586748,0,0,0,0.000,0
463,8099586748,0,0,0,0.000,0
464,8099586777,4,6,195,35.222,4
465,8099606787,0,0,0,0.000,0
466,8099606787,0,0,0,0.000,0
467,8099606821,4,6,195,34.958,4
468,8099626745,0,0,0,0.000,0
469,8099626745,0,0,0,0.000,0
470,8099626775,4,6,195,35.070,4
471,8099646811,0,0,0,0.000,0
472,8099646811,0,0,0,0.000,0
473,8099646847,4,6,195,35.176,4
474,8099666799,0,0,0,0.000,0
475,8099666799,0,0,0,0.000,0
476,8099666836,4,6,195,35.073,4
477,8099686816,0,0,0,0.000,0
478,8099686816,0,0,0,0.000,0
479,8099686854,4,6,195,35.222,4
480,8099706822,0,0,0,0.000,0
481,8099706822,0,0,0,0.000,0
482,8099706861,4,6,195,35.309,4
483,8099726797,0,0,0,0.000,0
484,8099726797,0,0,0,0.000,0
485,8099726835,4,6,195,35.024,4
486,8099746836,0,0,0,0.000,0
487,8099746836,0,0,0,0.000,0
488,8099746880,4,6,195,26.662,4
489,8099766700,0,0,0,0.000,0
490,8099766700,0,0,0,0.000,0
491,8099766730,4,6,195,20.279,4
492,8099786774,0,0,0,0.000,0
493,8099786774,0,0,0,0.000,0
494,8099786797,4,6,195,19.539,4
495,8099806728,0,0,0,0.000,0
496,8099806728,0,0,0,0.000,0
497,8099806753,4,6,195,20.125,4
498,8099826655,0,0,0,0.000,0
499,8099826655,0,0,0,0.000,0
500,8099826687,4,6,195,21.363,4
501,8099846799,0,0,0,0.000,0
502,8099846799,0,0,0,0.000,0
503,8099846835,4,6,195,34.435,4
504,8099866782,0,0,0,0.000,0
505,8099866782,0,0,0,0.000,0
506,8099866814,4,6,195,35.979,4
507,8099886790,0,0,0,0.000,0
508,8099886790,0,0,0,0.000,0
509,8099886819,4,6,195,35.062,4
510,8099906795,0,0,0,0.000,0
511,8099906795,0,0,0,0.000,0
512,8099906827,4,6,195,35.002,4
513,8099926794,0,0,0,0.000,0
514,8099926794,0,0,0,0.000,0
515,8099926824,4,6,195,34.917,4
516,8099946809,0,0,0,0.000,0
517,8099946809,0,0,0,0.000,0
518,8099946840,4,6,195,41.265,4
519,8099966817,0,0,0,0.000,0
520,8099966817,0,0,0,0.000,0
521,8099966850,4,6,195,41.344,4
522,8099986800,0,0,0,0.000,0
523,8099986800,0,0,0,0.000,0
524,8099986831,4,6,195,41.284,4
525,8100006890,0,0,0,0.000,0
526,8100006890,0,0,0,0.000,0
527,8100006920,4,6,195,42.006,4
528,8100026805,0,0,0,0.000,0
529,8100026805,0,0,0,0.000,0
530,8100026836,4,6,195,36.991,4
531,8100046811,0,0,0,0.000,0
532,8100046811,0,0,0,0.000,0
533,8100046843,4,6,195,41.561,4
534,8100066790,0,0,0,0.000,0
535,8100066790,0,0,0,0.000,0
536,8100066821,4,6,195,41.650,4
537,8100086801,0,0,0,0.000,0
538,8100086801,0,0,0,0.000,0
539,8100086834,4,6,195,41.471,4
540,8100106796,0,0,0,0.000,0
541,8100106796,0,0,0,0.000,0
542,8100106829,4,6,195,41.355,4
543,8100126832,0,0,0,0.000,0
544,8100126832,0,0,0,0.000,0
545,8100126866,4,6,195,41.549,4
546,8100146805,0,0,0,0.000,0
547,8100146805,0,0,0,0.000,0
548,8100146836,4,6,195,41.659,4
549,8100166788,0,0,0,0.000,0
550,8100166788,0,0,0,0.000,0
551,8100166818,4,6,195,41.425,4
552,8100186792,0,0,0,0.000,0
553,8100186792,0,0,0,0.000,0
554,8100186822,4,6,195,41.330,4
555,8100206814,0,0,0,0.000,0
556,8100206814,0,0,0,0.000,0
557,8100206847,4,6,195,41.413,4
558,8100226859,0,0,0,0.000,0
559,8100226859,0,0,0,0.000,0
560,8100226889,4,6,195,41.718,4
561,8100246794,0,0,0,0.000,0
562,8100246794,0,0,0,0.000,0
563,8100246825,4,6,195,41.410,4
564,8100266815,0,0,0,0.000,0
565,8100266815,0,0,0,0.000,0
566,8100266845,4,6,195,41.433,4
567,8100286824,0,0,0,0.000,0
568,8100286824,0,0,0,0.000,0
569,8100286853,4,6,195,42.104,4
570,8100306825,0,0,0,0.000,0
571,8100306825,0,0,0,0.000,0
572,8100306855,4,6,195,41.522,4
573,8100326789,0,0,0,0.000,0
574,8100326789,0,0,0,0.000,0
575,8100326821,4,6,195,41.353,4
576,8100346807,0,0,0,0.000,0
577,8100346807,0,0,0,0.000,0
578,8100346839,4,6,195,48.580,4
579,8100366858,0,0,0,0.000,0
580,8100366858,0,0,0,0.000,0
581,8100366882,4,6,195,23.001,4
582,8100386801,0,0,0,0.000,0
583,8100386801,0,0,0,0.000,0
584,8100386827,4,6,195,24.340,4
585,8100406691,0,0,0,0.000,0
586,8100406691,0,0,0,0.000,0
587,8100406712,4,6,195,20.992,4
588,8100426600,0,0,0,0.000,0
589,8100426600,0,0,0,0.000,0
590,8100426622,4,6,195,20.726,4
591,8100446608,0,0,0,0.000,0
592,8100446608,0,0,0,0.000,0
593,8100446633,4,6,195,22.150,4
594,8100466777,0,0,0,0.000,0
595,8100466777,0,0,0,0.000,0
596,8100466812,4,6,195,36.081,4
597,8100487023,0,0,0,0.000,0
598,8100487023,0,0,0,0.000,0
599,8100487060,4,6,196,35.467,4
600,8100507483,0,0,0,0.000,0
601,8100507483,0,0,0,0.000,0
602,8100507513,4,6,195,35.388,4
603,8100527075,0,0,0,0.000,0
604,8100527075,0,0,0,0.000,0
605,8100527109,4,6,195,35.261,4
606,8100546826,0,0,0,0.000,0
607,8100546826,0,0,0,0.000,0
608,8100546860,4,6,195,35.301,4
609,8100566798,0,0,0,0.000,0
610,8100566798,0,0,0,0.000,0
611,8100566831,4,6,195,34.933,4
612,8100586809,0,0,0,0.000,0
613,8100586809,0,0,0,0.000,0
614,8100586843,4,6,195,34.905,4
615,8100606808,0,0,0,0.000,0
616,8100606808,0,0,0,0.000,0
617,8100606842,4,6,195,35.132,4
618,8100626814,0,0,0,0.000,0
619,8100626814,0,0,0,0.000,0
620,8100626846,4,6,195,34.977,4
621,8100646812,0,0,0,0.000,0
622,8100646812,0,0,0,0.000,0
623,8100646846,4,6,195,35.157,4
624,8100666796,0,0,0,0.000,0
625,8100666796,0,0,0,0.000,0
626,8100666831,4,6,195,34.997,4
627,8100686813,0,0,0,0.000,0
628,8100686813,0,0,0,0.000,0
629,8100686847,4,6,195,35.278,4
630,8100706811,0,0,0,0.000,0
631,8100706811,0,0,0,0.000,0
632,8100706844,4,6,195,34.859,4
633,8100726892,0,0,0,0.000,0
634,8100726892,0,0,0,0.000,0
635,8100726926,4,6,195,35.132,4
636,8100746809,0,0,0,0.000,0
637,8100746809,0,0,0,0.000,0
638,8100746843,4,6,195,35.191,4
639,8100766822,0,0,0,0.000,0
640,8100766822,0,0,0,0.000,0
641,8100766855,4,6,195,34.990,4
642,8100786820,0,0,0,0.000,0
643,8100786820,0,0,0,0.000,0
644,8100786854,4,6,195,35.789,4
645,8100806807,0,0,0,0.000,0
646,8100806807,0,0,0,0.000,0
647,8100806841,4,6,195,35.189,4
648,8100826793,0,0,0,0.000,0
649,8100826793,0,0,0,0.000,0
650,8100826826,4,6,195,35.126,4
651,8100846795,0,0,0,0.000,0
652,8100846795,0,0,0,0.000,0
653,8100846830,4,6,195,34.914,4
654,8100866805,0,0,0,0.000,0
655,8100866805,0,0,0,0.000,0
656,8100866837,4,6,195,34.918,4
657,8100886809,0,0,0,0.000,0
658,8100886809,0,0,0,0.000,0
659,8100886842,4,6,195,35.013,4
660,8100906805,0,0,0,0.000,0
661,8100906805,0,0,0,0.000,0
662,8100906838,4,6,195,35.058,4
663,8100926835,0,0,0,0.000,0
664,8100926835,0,0,0,0.000,0
665,8100926870,4,6,195,35.025,4
666,8100946894,0,0,0,0.000,0
667,8100946894,0,0,0,0.000,0
668,8100946921,4,6,195,26.471,4
669,8100966730,0,0,0,0.000,0
670,8100966730,0,0,0,0.000,0
671,8100966756,4,6,195,24.862,4
672,8100986806,0,0,0,0.000,0
673,8100986806,0,0,0,0.000,0
674,8100986827,4,6,195,23.112,4
675,8101006763,0,0,0,0.000,0
676,8101006763,0,0,0,0.000,0
677,8101006797,4,6,195,24.055,4
678,8101026684,0,0,0,0.000,0
679,8101026684,0,0,0,0.000,0
680,8101026707,4,6,195,26.042,4
681,8101046771,0,0,0,0.000,0
682,8101046771,0,0,0,0.000,0
683,8101046805,4,6,195,44.449,4
684,8101066649,0,0,0,0.000,0
685,8101066649,0,0,0,0.000,0
686,8101066681,4,6,195,43.488,4
687,8101086598,0,0,0,0.000,0
688,8101086598,0,0,0,0.000,0
689,8101086629,4,6,195,43.024,4
690,8101106708,0,0,0,0.000,0
691,8101106708,0,0,0,0.000,0
692,8101106740,4,6,195,41.712,4
693,8101126786,0,0,0,0.000,0
694,8101126786,0,0,0,0.000,0
695,8101126819,4,6,195,42.458,4
696,8101146733,0,0,0,0.000,0
697,8101146733,0,0,0,0.000,0
698,8101146763,4,6,195,41.690,4
699,8101166808,0,0,0,0.000,0
700,8101166808,0,0,0,0.000,0
701,8101166842,4,6,195,41.379,4
702,8101186773,0,0,0,0.000,0
703,8101186773,0,0,0,0.000,0
704,8101186808,4,6,195,41.286,4
705,8101206771,0,0,0,0.000,0
706,8101206771,0,0,0,0.000,0
707,8101206806,4,6,195,41.840,4
708,8101226776,0,0,0,0.000,0
709,8101226776,0,0,0,0.000,0
710,8101226809,4,6,195,41.470,4
711,8101246764,0,0,0,0.000,0
712,8101246764,0,0,0,0.000,0
713,8101246798,4,6,195,41.321,4
714,8101266797,0,0,0,0.000,0
715,8101266797,0,0,0,0.000,0
716,8101266832,4,6,195,41.838,4
717,8101286782,0,0,0,0.000,0
718,8101286782,0,0,0,0.000,0
719,8101286816,4,6,195,42.049,4
720,8101306770,0,0,0,0.000,0
721,8101306770,0,0,0,0.000,0
722,8101306804,4,6,195,41.427,4
723,8101326784,0,0,0,0.000,0
724,8101326784,0,0,0,0.000,0
725,8101326819,4,6,195,41.615,4
726,8101346770,0,0,0,0.000,0
727,8101346770,0,0,0,0.000,0
728,8101346806,4,6,195,41.414,4
729,8101366783,0,0,0,0.000,0
730,8101366783,0,0,0,0.000,0
731,8101366819,4,6,195,41.646,4
732,8101386768,0,0,0,0.000,0
733,8101386768,0,0,0,0.000,0
